scode,sname,securitytype,trademarket,latestnoticedate,reportdate,basiceps,cutbasiceps,totaloperatereve,ystz,yshz,parentnetprofit,sjltz,sjlhz,roeweighted,bps,mgjyxjje,xsmll,publishname,assigndscrpt,gxl,securitytypecode,trademarketcode,firstnoticedate
001211,双枪科技,A股,深交所主板,2021-07-22T00:00:00,2021-03-31T00:00:00,0.27,0.26,206312140.68,57.9847,-39.4824,14720898.68,65.7265,-72.5563,2.99,9.10700718,-0.031712,39.3046,装修建材,-,-,058001001,069001002001,2021-07-22T00:00:00
301042,安联锐视,A股,深交所创业板,2021-07-22T00:00:00,2021-03-31T00:00:00,0.2401,0.2139,164849043.01,21.9454,-38.4193,12390567.89,90.5028,-53.3471,2.76,8.81022632,-0.218272,23.3063,计算机设备,-,-,058001001,069001002002,2021-07-22T00:00:00
300814,中富电路,A股,深交所创业板,2021-07-21T00:00:00,2021-03-31T00:00:00,0.14,0.13,268042539.51,40.8949,4.4689,18163730.01,13.7023,-16.356,2.83,4.92239892,0.426222,20.0964,电子元件,-,-,058001001,069001002002,2021-07-21T00:00:00
605589,圣泉集团,A股,上交所主板,2021-07-21T00:00:00,2021-03-31T00:00:00,0.23,0.16,1910514789.76,52.1293,-5.3349,160483420.01,18.1388,-26.8663,2.82,8.30932641,-0.7524,26.653,化学制品,-,-,058001001,069001001001,2021-07-21T00:00:00
603157,*ST拉夏,A股,上交所风险警示板,2021-07-21T00:00:00,2021-03-31T00:00:00,-0.13,-,157775000.0,-83.5274,102.4963,-70161000.0,83.4192,93.3573,-,-1.23799829,0.046281,58.2729,纺织服装,-,-,058001001,069001001003,2021-04-30T00:00:00
688148,芳源股份,A股,上交所科创板,2021-07-20T00:00:00,2021-03-31T00:00:00,0.04,0.04,351885123.73,377.2268,-13.6246,18094494.37,1202.6013,-52.337,1.93,2.21539511,-0.016064,14.2796,电池,-,-,058001001,069001001006,2021-07-20T00:00:00
688778,厦钨新能,A股,上交所科创板,2021-07-19T00:00:00,2021-03-31T00:00:00,0.59,0.57,2906106622.87,100.487,3.9139,111794785.01,203.0386,18.3458,6.2,9.83914641,0.329115,9.6563,电子元件,-,-,058001001,069001001006,2021-07-19T00:00:00
003023,彩虹集团,A股,深交所主板,2021-07-19T00:00:00,2021-03-31T00:00:00,0.46,-,287780542.42,51.3817,-31.6334,37250909.93,48.8783,12.324,2.92,15.98227377,2.192642,48.0911,家电行业,-,-,058001001,069001002001,2021-04-20T00:00:00
000737,南风化工,A股,深交所主板,2021-07-17T00:00:00,2021-03-31T00:00:00,0.0075,-,282881382.55,18.5182,-3.5715,4120060.67,-95.2138,151.09,0.8,0.9254468,0.00079,24.3657,化学原料,-,-,058001001,069001002001,2021-04-22T00:00:00
300994,久祺股份,A股,深交所创业板,2021-07-16T00:00:00,2021-03-31T00:00:00,0.23,0.22,749460133.85,122.7203,-16.2033,33343924.73,43.6919,-45.7,7.34,3.23743677,-1.098582,15.0832,交运设备,-,-,058001001,069001002002,2021-07-16T00:00:00
301041,金百泽,A股,深交所创业板,2021-07-16T00:00:00,2021-03-31T00:00:00,-,0.1381,146517447.03,55.5577,-11.9461,16928903.87,1911.3092,-13.2992,4.04,5.26160388,-0.425122,27.4375,电子元件,-,-,058001001,069001002002,2021-07-16T00:00:00
300117,嘉寓股份,A股,深交所创业板,2021-07-15T00:00:00,2021-03-31T00:00:00,-0.03,-,342717122.42,62.6843,-60.2464,-18026778.35,56.4018,-113.5531,-1.24,2.00781378,0.007849,10.0906,装修建材,-,-,058001001,069001002002,2021-04-28T00:00:00
300294,博雅生物,A股,深交所创业板,2021-07-15T00:00:00,2021-03-31T00:00:00,0.24,-,624118627.05,2.3826,19.0655,100736164.66,5.0424,178.3589,2.42,9.71229761,0.367638,56.5071,生物制品,-,-,058001001,069001002002,2021-04-27T00:00:00
688385,复旦微电,A股,上交所科创板,2021-07-15T00:00:00,2021-03-31T00:00:00,0.12,0.1,502011131.75,97.6154,0.8558,86391331.19,318.0786,222.0989,4.38,2.90391104,0.060395,51.1336,工程建设,-,-,058001001,069001001006,2021-07-15T00:00:00
605577,龙版传媒,A股,上交所主板,2021-07-14T00:00:00,2021-03-31T00:00:00,0.3305,0.315,585814325.14,17.7771,142.2735,132199773.3,32.3394,382.2181,5.37,6.31939918,-0.253463,46.9417,文化传媒,-,-,058001001,069001001001,2021-07-14T00:00:00
301031,中熔电气,A股,深交所创业板,2021-07-14T00:00:00,2021-03-31T00:00:00,0.36,0.33,71228694.04,202.8694,-8.0235,17925750.94,765.8857,11.8116,7.01,5.32328455,-0.093112,43.4992,电网设备,-,-,058001001,069001002002,2021-07-02T00:00:00
301040,中环海陆,A股,深交所创业板,2021-07-14T00:00:00,2021-03-31T00:00:00,-,0.3883,307416137.5,66.0641,1.7764,29962906.92,26.833,-15.1049,4.76,8.58778214,-0.031172,18.0992,工程机械,-,-,058001001,069001002002,2021-07-14T00:00:00
605507,国邦医药,A股,上交所主板,2021-07-14T00:00:00,2021-03-31T00:00:00,0.39,0.38,1142265947.08,27.019,7.7707,185100330.65,14.7276,7.1526,5.5,7.28385929,0.03766,29.8356,化学制药,-,-,058001001,069001001001,2021-07-14T00:00:00
301024,霍普股份,A股,深交所创业板,2021-07-14T00:00:00,2021-03-31T00:00:00,0.29,0.28,59049004.7,50.5742,-42.6926,9164490.31,121.8398,-55.8178,2.81,10.39859028,-0.719706,46.516,工程建设,-,-,058001001,069001002002,2021-07-14T00:00:00
300774,倍杰特,A股,深交所创业板,2021-07-14T00:00:00,2021-03-31T00:00:00,0.07,0.07,111894654.52,215.0353,-61.1498,27028202.51,81.8877,-67.1635,2.39,3.10788779,-0.345145,38.0445,环保行业,-,-,058001001,069001002002,2021-07-14T00:00:00
688670,金迪克,A股,上交所科创板,2021-07-13T00:00:00,2021-03-31T00:00:00,-0.09,-0.11,30044808.74,-26.9854,-90.8046,-5294732.69,-227.0099,-104.9688,-2.6,3.59408555,-0.599587,86.0426,化学制药,-,-,058001001,069001001006,2021-07-13T00:00:00
001212,中旗新材,A股,深交所主板,2021-07-13T00:00:00,2021-03-31T00:00:00,0.42,0.41,125876002.52,69.1759,-35.3453,28543372.75,37.9145,-35.0055,4.56,9.41121738,0.291999,33.916,装修装饰,-,-,058001001,069001002001,2021-07-13T00:00:00
002411,延安必康,A股,深交所主板,2021-07-13T00:00:00,2021-03-31T00:00:00,0.0743,-,1444141991.91,-11.4478,-20.4075,113778242.68,117.9458,110.5002,1.33,5.65845201,-0.030496,22.3989,医药商业,-,-,058001001,069001002001,2021-04-30T00:00:00
688511,天微电子,A股,上交所科创板,2021-07-12T00:00:00,2021-03-31T00:00:00,0.4757,0.3987,50000614.7,20.5651,12.7884,28539955.91,62.8504,28.7683,12.21,4.13496801,0.520183,73.9296,电子元件,-,-,058001001,069001001006,2021-07-12T00:00:00
688509,正元地信,A股,上交所科创板,2021-07-12T00:00:00,2021-03-31T00:00:00,-0.03,-0.03,286788677.0,58.2023,-63.4921,-18616107.56,54.0591,-115.8038,-1.59,1.93587573,-0.278582,32.5243,互联网服务,-,-,058001001,069001001006,2021-07-12T00:00:00
301038,深水规院,A股,深交所创业板,2021-07-09T00:00:00,2021-03-31T00:00:00,0.02,0.01,222172435.36,160.8941,-32.135,2152994.06,109.9971,-94.9763,0.33,6.70235822,-1.947757,17.0156,工程建设,-,-,058001001,069001002002,2021-07-09T00:00:00
688071,华依科技,A股,上交所科创板,2021-07-09T00:00:00,2021-03-31T00:00:00,-0.064,-0.083,28558801.81,53.5804,-75.9832,-3505742.91,64.5995,-116.9243,-1.67,3.81744882,-0.528722,44.0201,汽车零部件,-,-,058001001,069001001006,2021-07-09T00:00:00
301037,保立佳,A股,深交所创业板,2021-07-09T00:00:00,2021-03-31T00:00:00,0.0481,0.0267,516376172.08,132.5165,-14.4191,3251690.49,274.4835,-75.7222,0.66,7.32941194,-0.212588,13.5686,化学制品,-,-,058001001,069001002002,2021-07-09T00:00:00
301036,双乐股份,A股,深交所创业板,2021-07-09T00:00:00,2021-03-31T00:00:00,0.59,0.58,380265654.52,59.924,-1.3859,44385806.31,244.0328,-10.6032,4.46,13.57273741,-0.152611,24.9875,化学制品,-,-,058001001,069001002002,2021-07-09T00:00:00
688718,唯赛勃,A股,上交所科创板,2021-07-08T00:00:00,2021-03-31T00:00:00,0.13,0.1257,94328782.6,83.6139,-1.1006,16877832.16,513.519,-4.0438,3.84,3.44092304,0.171981,37.869,专用设备,-,-,058001001,069001001006,2021-07-08T00:00:00
301035,润丰股份,A股,深交所创业板,2021-07-08T00:00:00,2021-03-31T00:00:00,0.46,0.4,1811987233.25,45.4181,27.8665,96143598.31,23.4051,958.8342,3.37,14.00513711,-1.862461,13.2425,农药兽药,-,-,058001001,069001002002,2021-07-08T00:00:00
688296,和达科技,A股,上交所科创板,2021-07-07T00:00:00,2021-03-31T00:00:00,-0.07,-0.09,42574590.07,218.7412,-74.8211,-5791366.06,51.6445,-110.7355,-1.68,4.23529718,-0.949698,38.9425,软件开发,-,-,058001001,069001001006,2021-07-07T00:00:00
600093,*ST易见,A股,上交所风险警示板,2021-07-06T00:00:00,2021-03-31T00:00:00,-0.06,-,1209938905.54,-42.5141,-51.4151,-67868091.99,-172.0166,99.4239,-,-3.23018986,0.078988,0.795,多元金融,-,-,058001001,069001001003,2021-07-06T00:00:00
688768,容知日新,A股,上交所科创板,2021-07-06T00:00:00,2021-03-31T00:00:00,-0.34,-0.35,26381356.51,57.827,-76.1367,-14155530.32,-86.3191,-139.548,-4.05,8.33335586,-0.43896,68.9793,仪器仪表,-,-,058001001,069001001006,2021-07-06T00:00:00
605167,利柏特,A股,上交所主板,2021-07-06T00:00:00,2021-03-31T00:00:00,0.04,0.03,294456151.41,42.1011,-47.4385,12039886.14,-8.6737,-74.5707,1.49,2.41604672,0.156799,14.2247,专用设备,-,-,058001001,069001001001,2021-07-06T00:00:00
688305,科德数控,A股,上交所科创板,2021-07-06T00:00:00,2021-03-31T00:00:00,0.1886,-0.0063,50339853.02,1938.1101,-35.5745,12831980.97,251.8127,-41.6104,2.31,8.24456163,-0.260243,44.3803,通用设备,-,-,058001001,069001001006,2021-06-22T00:00:00
601825,沪农商行,A股,上交所主板,2021-07-06T00:00:00,2021-03-31T00:00:00,0.28,-,5829175000.0,1.0146,8.6202,2412274000.0,0.0343,29.8256,-,9.1630432,-0.195267,-,银行,-,-,058001001,069001001001,2021-04-30T00:00:00
688303,大全能源,A股,上交所科创板,2021-07-05T00:00:00,2021-03-31T00:00:00,0.36,-,1661374459.58,40.832,-0.3903,582029635.28,130.4033,6.5467,-,3.23187639,0.180527,46.4359,光伏设备,-,-,058001001,069001001006,2021-07-05T00:00:00
301032,新柴股份,A股,深交所创业板,2021-07-05T00:00:00,2021-03-31T00:00:00,0.08,0.07,800807390.06,66.0494,17.5339,14893191.28,363.2392,-50.8498,1.96,4.25116575,-1.274861,11.7038,通用设备,-,-,058001001,069001002002,2021-07-05T00:00:00
301033,迈普医学,A股,深交所创业板,2021-07-05T00:00:00,2021-03-31T00:00:00,0.21,0.16,32515128.53,70.1863,-22.3913,10395879.49,125.2804,-24.8459,3.05,6.95956557,0.104865,80.5872,医疗服务,-,-,058001001,069001002002,2021-07-05T00:00:00
301029,怡合达,A股,深交所创业板,2021-07-02T00:00:00,2021-03-31T00:00:00,0.17,0.17,319380941.64,105.5831,-15.9938,61684924.12,152.6078,-27.9108,4.44,3.94276955,-0.040145,43.0004,通用设备,-,-,058001001,069001002002,2021-07-02T00:00:00
301030,仕净科技,A股,深交所创业板,2021-07-02T00:00:00,2021-03-31T00:00:00,0.09,0.09,105114090.71,8215.3387,-61.2835,8731141.05,155.6322,-77.2799,1.05,8.3491202,0.312727,29.4387,环保行业,-,-,058001001,069001002002,2021-07-02T00:00:00
688800,瑞可达,A股,上交所科创板,2021-07-02T00:00:00,2021-03-31T00:00:00,0.2,0.17,148146615.19,65.3458,-5.0471,16347858.75,75.0915,35.6507,3.02,6.79027222,0.149086,23.0867,电子元件,-,-,058001001,069001001006,2021-07-02T00:00:00
300743,天地数码,A股,深交所创业板,2021-07-02T00:00:00,2021-03-31T00:00:00,0.074,-,108532407.58,24.8264,-15.5373,7317866.89,395.7167,-7.5834,1.85,4.05836514,-0.071248,24.2798,非金属材料,-,-,058001001,069001002002,2021-04-27T00:00:00
002653,海思科,A股,深交所主板,2021-06-30T00:00:00,2021-03-31T00:00:00,0.27,-,728110978.08,23.6837,-23.7132,287262058.71,123.7593,22.8241,9.43,2.97204371,-0.00781,69.2311,化学制药,-,-,058001001,069001002001,2021-04-28T00:00:00
301028,东亚机械,A股,深交所创业板,2021-06-30T00:00:00,2021-03-31T00:00:00,0.16,0.15,226767257.98,92.6661,-0.9293,45918106.52,199.9975,-6.7484,8.21,2.05045764,-0.00588,33.3274,通用设备,-,-,058001001,069001002002,2021-06-30T00:00:00
600359,新农开发,A股,上交所主板,2021-06-29T00:00:00,2021-03-31T00:00:00,0.06,-,191204473.51,78.6908,-29.8465,22880827.01,117.6552,-10.7305,4.64,1.35451284,0.088489,26.2852,农牧饲渔,-,-,058001001,069001001001,2021-04-30T00:00:00
688501,青达环保,A股,上交所科创板,2021-06-29T00:00:00,2021-03-31T00:00:00,-0.08,-0.1,20430915.1,35.5026,-93.1809,-5419068.31,-51.1535,-111.91,-1.08,6.99176967,-1.033138,48.2926,环保行业,-,-,058001001,069001001006,2021-06-29T00:00:00
605365,立达信,A股,上交所主板,2021-06-29T00:00:00,2021-03-31T00:00:00,0.19,0.16,1304178795.83,62.934,-13.0032,87411106.03,221.4833,50.7764,4.68,4.24907968,-0.226226,26.1929,家电行业,-,-,058001001,069001001001,2021-06-29T00:00:00
301027,华蓝集团,A股,深交所创业板,2021-06-28T00:00:00,2021-03-31T00:00:00,0.22,0.2,270229121.5,48.1385,-38.9136,23914633.96,58.8162,-50.9474,5.5,4.05400147,-1.247842,35.4553,工程咨询服务,-,-,058001001,069001002002,2021-06-28T00:00:00
300376,易事特,A股,深交所创业板,2021-06-26T00:00:00,2021-03-31T00:00:00,0.03,-,686076616.98,22.5906,-44.4216,76278443.66,25.0399,-40.1557,1.32,2.50604014,0.037205,34.4012,电源设备,-,-,058001001,069001002002,2021-04-22T00:00:00
